FL Paper Experiment | INFO flwr 2024-03-26 14:01:03,350 | main.py:26 | 
================================================================================
FedFaces - FedAvg(accept_failures=True) - nonIID Distribution has started
================================================================================
FL Paper Experiment | DEBUG flwr 2024-03-26 15:37:18,782 | server.py:187 | evaluate_round 47 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-26 15:37:18,783 | server.py:222 | fit_round 48: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-26 15:39:12,981 | server.py:236 | fit_round 48 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-26 15:39:13,877 | server.py:173 | evaluate_round 48: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-26 15:39:20,890 | server.py:187 | evaluate_round 48 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-26 15:39:20,891 | server.py:222 | fit_round 49: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-26 15:41:14,613 | server.py:236 | fit_round 49 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-26 15:41:15,505 | server.py:173 | evaluate_round 49: strategy sampled 10 clients (out of 10)
FL Paper Experiment | DEBUG flwr 2024-03-26 15:41:22,719 | server.py:187 | evaluate_round 49 received 10 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-26 15:41:22,719 | server.py:222 | fit_round 50: strategy sampled 10 clients (out of 10)
