FL Paper Experiment | INFO flwr 2024-03-29 12:40:52,778 | main.py:26 | 
FL Paper Experiment | DEBUG flwr 2024-03-29 13:15:46,368 | server.py:173 | evaluate_round 31: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:15:57,002 | server.py:187 | evaluate_round 31 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:15:57,003 | server.py:222 | fit_round 32: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:16:52,594 | server.py:236 | fit_round 32 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:16:54,059 | server.py:173 | evaluate_round 32: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:17:04,606 | server.py:187 | evaluate_round 32 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:17:04,607 | server.py:222 | fit_round 33: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:18:00,555 | server.py:236 | fit_round 33 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:18:01,905 | server.py:173 | evaluate_round 33: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:18:12,657 | server.py:187 | evaluate_round 33 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:18:12,658 | server.py:222 | fit_round 34: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:19:08,587 | server.py:236 | fit_round 34 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:19:10,047 | server.py:173 | evaluate_round 34: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:19:20,744 | server.py:187 | evaluate_round 34 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:19:20,745 | server.py:222 | fit_round 35: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:20:16,499 | server.py:236 | fit_round 35 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:20:17,806 | server.py:173 | evaluate_round 35: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:20:28,530 | server.py:187 | evaluate_round 35 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:20:28,531 | server.py:222 | fit_round 36: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:21:24,875 | server.py:236 | fit_round 36 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:21:26,423 | server.py:173 | evaluate_round 36: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:21:37,123 | server.py:187 | evaluate_round 36 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:21:37,124 | server.py:222 | fit_round 37: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:22:32,537 | server.py:236 | fit_round 37 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:22:33,906 | server.py:173 | evaluate_round 37: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:22:44,492 | server.py:187 | evaluate_round 37 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:22:44,492 | server.py:222 | fit_round 38: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:23:40,098 | server.py:236 | fit_round 38 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:23:41,530 | server.py:173 | evaluate_round 38: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:23:52,227 | server.py:187 | evaluate_round 38 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:23:52,228 | server.py:222 | fit_round 39: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:24:48,156 | server.py:236 | fit_round 39 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:24:49,614 | server.py:173 | evaluate_round 39: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:25:00,211 | server.py:187 | evaluate_round 39 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:25:00,212 | server.py:222 | fit_round 40: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:25:55,979 | server.py:236 | fit_round 40 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:25:57,413 | server.py:173 | evaluate_round 40: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:26:08,159 | server.py:187 | evaluate_round 40 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:26:08,160 | server.py:222 | fit_round 41: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:27:06,089 | server.py:236 | fit_round 41 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:27:07,432 | server.py:173 | evaluate_round 41: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:27:18,022 | server.py:187 | evaluate_round 41 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:27:18,022 | server.py:222 | fit_round 42: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:28:13,662 | server.py:236 | fit_round 42 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:28:15,223 | server.py:173 | evaluate_round 42: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:28:25,906 | server.py:187 | evaluate_round 42 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:28:25,907 | server.py:222 | fit_round 43: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:29:22,052 | server.py:236 | fit_round 43 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:29:23,440 | server.py:173 | evaluate_round 43: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:29:34,114 | server.py:187 | evaluate_round 43 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:29:34,114 | server.py:222 | fit_round 44: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:30:30,140 | server.py:236 | fit_round 44 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:30:31,655 | server.py:173 | evaluate_round 44: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:30:42,590 | server.py:187 | evaluate_round 44 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:30:42,591 | server.py:222 | fit_round 45: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:31:38,536 | server.py:236 | fit_round 45 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:31:40,018 | server.py:173 | evaluate_round 45: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:31:50,728 | server.py:187 | evaluate_round 45 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:31:50,729 | server.py:222 | fit_round 46: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:32:46,423 | server.py:236 | fit_round 46 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:32:47,989 | server.py:173 | evaluate_round 46: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:32:58,721 | server.py:187 | evaluate_round 46 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:32:58,721 | server.py:222 | fit_round 47: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:33:55,145 | server.py:236 | fit_round 47 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:33:56,610 | server.py:173 | evaluate_round 47: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:34:07,200 | server.py:187 | evaluate_round 47 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:34:07,201 | server.py:222 | fit_round 48: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:35:03,027 | server.py:236 | fit_round 48 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:35:04,485 | server.py:173 | evaluate_round 48: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:35:15,242 | server.py:187 | evaluate_round 48 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:35:15,243 | server.py:222 | fit_round 49: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:36:11,473 | server.py:236 | fit_round 49 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:36:12,917 | server.py:173 | evaluate_round 49: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:36:23,574 | server.py:187 | evaluate_round 49 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:36:23,575 | server.py:222 | fit_round 50: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:37:20,309 | server.py:236 | fit_round 50 received 20 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-03-29 13:37:21,663 | server.py:173 | evaluate_round 50: strategy sampled 20 clients (out of 50)
FL Paper Experiment | DEBUG flwr 2024-03-29 13:37:32,353 | server.py:187 | evaluate_round 50 received 20 results and 0 failures
